156	Night at the Museum: Battle of the Smithsonian	2009	5	tt1078912	18360	105	PG	150000000	6.0	45	292
157	A Single Man	2009	10	tt1315981	34653	97	R	7000000	7.6	85	15
158	Mulan: Rise of a Warrior	2009	11	tt1308138	32909	115	Not Rated	12000000	6.8	\N	175
159	Crank: High Voltage	2009	4	tt1121931	15092	96	R	20000000	6.2	64	19
160	The Boat That Rocked	2009	4	tt1131729	18947	135	R	50000000	7.4	61	4
161	I Love You, Man	2009	3	tt1155056	16538	105	R	41000000	7.0	83	30
163	The Time Traveler's Wife	2009	8	tt0452694	24420	108	PG-13	39000000	7.1	39	121
164	Spread	2009	1	tt1186370	19918	97	R	0	5.8	21	86
165	Obsessed	2009	4	tt1198138	17335	108	PG-13	20000000	5.0	19	18
166	Monsters vs Aliens	2009	3	tt0892782	15512	94	PG	175000000	6.4	73	293
168	Valhalla Rising	2009	9	tt0862467	37861	93	Not Rated	5641880	6.1	73	294
169	Carriers	2009	9	tt0806203	25769	84	PG-13	0	6.0	66	295
170	Daybreakers	2009	10	tt0433362	19901	98	R	20000000	6.4	69	296
171	Ghosts of Girlfriends Past	2009	5	tt0821640	12556	100	PG-13	0	5.8	27	245
172	Land of the Lost	2009	6	tt0457400	18162	102	PG-13	100000000	5.3	26	297
173	Broken Embraces	2009	3	tt0913425	8088	127	R	18000000	7.2	81	99
174	The Uninvited	2009	1	tt0815245	14254	87	PG-13	0	6.4	31	21
175	Cirque du Freak: The Vampire's Assistant	2009	10	tt0450405	24418	109	PG-13	40000000	5.8	38	191
176	The House of the Devil	2009	4	tt1172994	25983	95	R	0	6.4	85	259
177	Bride Wars	2009	1	tt0901476	10521	89	PG	30000000	5.5	11	86
178	The Unborn	2009	1	tt1139668	13788	87	PG-13	16000000	4.8	10	97
179	Where the Wild Things Are	2009	10	tt0386117	16523	101	PG	100000000	6.7	73	298
180	Julie & Julia	2009	8	tt1135503	24803	123	PG-13	40000000	7.0	77	15
181	It's Complicated	2009	12	tt1230414	22897	121	R	85000000	6.5	58	86
183	Hannah Montana: The Movie	2009	4	tt1114677	18126	102	G	35000000	4.5	43	300
184	The Final Destination	2009	8	tt1144884	19912	82	R	40000000	5.2	28	259
185	Gamer	2009	9	tt1034032	18501	95	R	50000000	5.8	30	129
186	Whatever Works	2009	6	tt1178663	19265	92	PG-13	15000000	7.1	50	86
187	Race to Witch Mountain	2009	3	tt1075417	13836	98	PG	50000000	5.7	43	301
188	The Stepfather	2009	10	tt0814335	19904	101	PG-13	20000000	5.6	11	22
189	Invictus	2009	12	tt1057500	22954	134	PG-13	60000000	7.3	77	16
190	Agora	2009	5	tt1186830	26428	127	R	70000000	7.2	53	302
191	Dread	2009	7	tt1331307	26587	108	R	0	5.7	45	5
192	The Fourth Kind	2009	11	tt1220198	22824	98	PG-13	10000000	5.9	18	236
194	Whip It	2009	4	tt1172233	22798	111	PG-13	15000000	6.9	84	17
195	Thirst	2009	4	tt0762073	22536	133	R	5000000	7.1	81	5
196	Blood Creek	2009	10	tt0450336	30685	90	R	0	5.3	43	22
197	The Taking of Pelham 1 2 3	2009	6	tt1111422	18487	106	R	100000000	6.4	51	19
198	Ninja Assassin	2009	9	tt1186367	22832	99	R	40000000	6.3	26	29
199	Surrogates	2009	9	tt0986263	19959	89	PG-13	80000000	6.3	37	129
200	In the Electric Mist	2009	4	tt0910905	13975	117	R	0	6.1	58	130
201	Crazy Heart	2009	12	tt1263670	25196	112	R	7000000	7.2	90	41
202	Funny People	2009	7	tt1201167	20829	146	R	75000000	6.3	69	4
203	Adventureland	2009	4	tt1091722	16614	107	R	0	6.8	88	30
204	A Perfect Getaway	2009	6	tt0971209	12403	98	R	14000000	6.5	62	304
