1	['comedy', 'drama', 'fantasy', 'romance']
2	['comedy', 'drama', 'romance']
3	['action', 'comedy', 'science fiction']
4	['comedy', 'drama']
5	['drama', 'horror', 'thriller']
6	['action', 'comedy']
7	['animation', 'drama', 'family']
8	['drama', 'mystery', 'thriller']
9	['drama', 'war']
10	['action', 'drama', 'history']
11	['drama', 'fantasy', 'horror']
12	['crime', 'drama']
13	['action', 'animation', 'science fiction']
14	['drama', 'fantasy', 'horror', 'mystery']
15	['drama', 'romance']
16	['drama', 'history']
17	['drama']
18	['drama', 'thriller']
19	['action', 'crime', 'thriller']
20	['comedy', 'drama', 'war']
21	['horror']
22	['horror', 'thriller']
23	['crime', 'drama', 'horror']
24	['action', 'comedy', 'mystery', 'thriller']
25	['action', 'war']
26	['thriller']
27	['fantasy', 'horror', 'thriller']
28	['action', 'crime', 'thriller', 'western']
29	['action', 'thriller']
30	['comedy']
31	['action', 'drama']
32	['science fiction']
33	['action', 'adventure', 'science fiction']
34	['comedy', 'horror']
35	['action', 'horror', 'science fiction', 'thriller']
36	['animation', 'drama', 'family', 'fantasy']
37	['drama', 'thriller', 'western']
38	['drama', 'history', 'romance']
39	['drama', 'western']
40	['comedy', 'crime', 'mystery', 'thriller']
41	['drama', 'music', 'romance']
42	['comedy', 'family', 'fantasy']
43	['comedy', 'drama', 'fantasy', 'horror', 'thriller']
44	['drama', 'music', 'romance', 'war']
45	['action', 'horror', 'science fiction']
46	['science fiction', 'thriller']
47	['drama', 'horror', 'science fiction']
48	['action', 'comedy', 'mystery']
49	['comedy', 'horror', 'thriller']
50	['drama', 'horror']
51	['animation', 'drama', 'horror']
52	['comedy', 'family']
53	['fantasy', 'horror', 'mystery', 'science fiction', 'thriller']
54	['crime', 'drama', 'thriller']
55	['mystery', 'thriller']
56	['drama', 'history', 'thriller']
57	['drama', 'family', 'romance']
58	['action', 'adventure', 'comedy', 'fantasy', 'science fiction', 'thriller']
59	['action', 'crime', 'drama']
60	['adventure', 'comedy', 'family']
61	['family']
62	['drama', 'thriller', 'war']
63	['comedy', 'crime', 'drama', 'mystery']
64	['crime', 'thriller']
65	['drama', 'horror', 'mystery']
66	['action', 'drama', 'thriller']
67	['action', 'crime', 'mystery', 'thriller']
68	['comedy', 'drama', 'history']
69	['action', 'fantasy']
70	['comedy', 'music']
71	['action', 'science fiction']
72	['crime', 'drama', 'romance']
73	['animation', 'romance']
74	['action', 'adventure', 'fantasy']
75	['crime', 'drama', 'romance', 'thriller']
76	['adventure', 'drama']
77	['fantasy', 'horror', 'science fiction']
78	['drama', 'family']
79	['action', 'adventure', 'animation', 'family']
80	['action', 'adventure']
