224	5.9	5661	Matthew Gray Gubler
225	7.279999999999999	3490	Adrien Brody
226	7.010000000000001	98	Sarah Polley
227	5.54	118357	Delphine Chanéac
228	6.609999999999999	5892	David Hewlett
229	6.133333333333333	88931	Abigail Chu
230	6.74	1461	George Clooney
231	6.919999999999999	5064	Meryl Streep
232	7.530000000000001	17881	Jason Schwartzman
233	7.390000000000002	1532	Bill Murray
234	7.279999999999999	5293	Willem Dafoe
235	7.2299999999999995	36592	Saoirse Ronan
236	6.74	3293	Rachel Weisz
237	6.69	13240	Mark Wahlberg
238	6.33	4038	Susan Sarandon
239	7.01	2283	Stanley Tucci
240	6.9799999999999995	6283	Michael Nyqvist
241	6.919999999999999	87722	Noomi Rapace
242	6.789999999999999	79196	Lena Endre
243	6.17	87723	Sven-Bertil Taube
244	6.7700000000000005	21193	Peter Andersson
245	7.2299999999999995	6807	Sam Rockwell
246	7.63	1979	Kevin Spacey
247	6.1375	115146	Dominique McElligott
248	7.9	115147	Rosie Shaw
249	7.9	115149	Adrienne Shaw
250	5.6899999999999995	60072	Sara Paxton
251	7.109999999999999	39520	Garret Dillahunt
252	7.5	2234	Michael Bowen
253	5.688888888888888	78150	Joshua Cox
254	6.609999999999999	453	Riki Lindhome
255	6.630000000000001	4273	Charlotte Gainsbourg
256	6.6	570509	Storm Acheche Sahlstrøm
257	7.900000000000001	110	Viggo Mortensen
258	7.0200000000000005	113505	Kodi Smit-McPhee
259	6.7700000000000005	6885	Charlize Theron
260	7.67	3087	Robert Duvall
261	7.17	529	Guy Pearce
262	6.470000000000001	122428	Christos Stergioglou
263	6.977777777777778	17587	Michele Valley
264	6.41111111111111	122426	Angeliki Papoulia
265	5.859999999999999	122424	Hristos Passalis
266	6.1	122425	Mary Tsoni
267	7.380000000000001	72873	Michael Stuhlbarg
268	7.040000000000001	21125	Richard Kind
269	6.970000000000001	105303	Fred Melamed
270	6.7	105304	Sari Lennick
271	7.0	105305	Aaron Wolff
272	5.9	29222	Zac Efron
273	6.37	41087	Leslie Mann
274	6.0	14408	Matthew Perry
275	5.84	49961	Michelle Trachtenberg
276	5.449999999999999	17270	Allison Miller
277	6.909999999999999	1231	Julianne Moore
278	7.38	3896	Liam Neeson
279	5.86	41883	Max Thieriot
280	6.119999999999999	91600	R. H. Thomson
281	7.13	69310	Ricardo Darín
282	6.69	93647	Soledad Villamil
283	6.63	93648	Pablo Rago
284	6.380000000000001	93649	Javier Godino
285	6.510000000000001	93650	Guillermo Francella
286	7.05	134	Jamie Foxx
287	6.709999999999999	17276	Gerard Butler
288	7.0	17782	Colm Meaney
289	6.779999999999999	14888	Bruce McGill
290	6.39	57451	Leslie Bibb
291	7.1	85	Johnny Depp
292	7.2700000000000005	8293	Marion Cotillard
293	6.039999999999999	10822	Stephen Dorff
294	5.91	25541	Katherine Heigl
295	6.37	74409	Eric Winter
296	7.15	12538	Nick Searcy
297	5.83	62065	Bree Turner
298	7.1800000000000015	36662	Carey Mulligan
299	6.55	55470	Dominic Cooper
300	6.87	10882	Rosamund Pike
301	6.840000000000002	11616	Olivia Williams
302	6.87	2963	Nicolas Cage
303	6.76	9827	Rose Byrne
304	6.319999999999999	77334	Chandler Canterbury
305	7.029999999999999	77335	Ben Mendelsohn
306	5.840000000000001	77336	Nadia Townsend
307	6.24	17835	Ricky Gervais
308	6.5	9278	Jennifer Garner
309	7.290000000000001	21007	Jonah Hill
310	7.0	52849	Louis C. K.
311	6.9	4175	Jeffrey Tambor
312	7.589999999999999	7499	Jared Leto
313	6.970000000000001	9824	Diane Kruger
314	6.390000000000001	19115	Linh Đan Phạm
315	6.7700000000000005	7026	Rhys Ifans
316	6.910000000000001	11107	Ben Foster
317	6.1	55086	Cam Gigandet
318	6.3999999999999995	43202	Antje Traue
319	6.0	116637	Cung Le
320	6.833333333333333	112741	Nathaniel Brown
321	6.460000000000001	59882	Paz de la Huerta
322	7.3	112745	Cyril Roy
323	7.3	545627	Masato Tanno
324	7.3	112743	Jesse Kuhn
325	6.26	23721	Dieter Laser
326	5.377777777777777	121574	Ashley C. Williams
327	4.42	121575	Ashlynn Yennie
328	4.844444444444445	121576	Akihiro Kitamura
329	6.36	121577	Andreas Leupold
330	6.640000000000001	8291	Alison Lohman
331	5.98	15033	Justin Long
332	5.899999999999999	95696	Lorna Raver
333	6.640000000000001	95697	Dileep Rao
334	6.5	19839	David Paymer
335	6.089999999999999	84223	Anna Kendrick
336	6.960000000000001	16431	Sam Elliott
337	6.2555555555555555	26930	Amy Morton
338	6.659999999999999	27755	Melissa George
339	6.460000000000001	96066	Liam Hemsworth
340	6.05	62754	Emma Lung
341	5.977777777777778	77767	Rachael Carpani
342	6.25	76068	Michael Dorman
343	6.609999999999999	6886	Christina Ricci
344	6.539999999999999	2694	Josh Charles
345	7.3	2641	Martin Landau
346	7.289999999999999	4764	John C. Reilly
347	6.3	1064	Crispin Glover
348	6.56	10959	Shia LaBeouf
349	6.08	19536	Josh Duhamel
350	6.489999999999999	8169	Tyrese Gibson
351	6.6	1241	John Turturro
352	5.266666666666667	91643	Katie Jarvis
353	6.040000000000001	8309	Kierston Wareing
354	7.3	972306	Rebecca Griffiths
355	6.459999999999999	45051	Harry Treadaway
356	6.92	2296	Clive Owen
357	7.2	3489	Naomi Watts
358	6.779999999999999	12647	Armin Mueller-Stahl
359	6.4	4455	Ulrich Thomsen
360	6.710000000000001	31713	Brían F. O'Byrne
361	6.859999999999999	2219	Tobey Maguire
362	7.38	131	Jake Gyllenhaal
363	7.43	524	Natalie Portman
364	7.030000000000001	9880	Sam Shepard
365	6.39	54479	Bailee Madison
366	6.489999999999999	9137	Renée Zellweger
367	6.06	8338	Jodelle Ferland
368	6.07142857142857	100567	Kerry O'Malley
369	6.24	540	Callum Keith Rennie
370	5.64	21318	Scout Taylor-Compton
371	6.630000000000001	56890	Malcolm McDowell
372	7.050000000000002	1370	Brad Dourif
373	5.93	9832	Tyler Mane
374	5.83	21319	Sheri Moon Zombie
375	7.139999999999999	1810	Heath Ledger
376	5.93	53688	Lily Cole
377	6.83	2887	Tom Waits
378	7.609999999999999	16828	Chris Evans
379	6.0	38670	Camilla Belle
380	7.35	938	Djimon Hounsou
381	5.92	74537	Maggie Siff
382	6.5	1205	Richard Gere
383	7.4799999999999995	11148	Joan Allen
384	5.82	20376	Sarah Roemer
385	6.470000000000001	11398	Cary-Hiroyuki Tagawa
386	6.04	18917	Erick Avari
387	5.199999999999999	503	Justin Chatwin
388	6.589999999999999	1619	Chow Yun-Fat
389	4.7	78323	Joon Park
390	5.909999999999999	78324	Jamie Chung
391	6.289999999999999	4730	Emmy Rossum
392	6.87	4937	Vince Vaughn
393	6.2299999999999995	50463	Malin Åkerman
394	6.789999999999999	23532	Jason Bateman
395	6.69	40462	Kristen Bell
396	7.45	15277	Jon Favreau
